Plant_Number,PRODUCT,Model,FG CODE,DESCRIPTION
6062,Split-SKD,10 Inv,F01000049100,Mega T+ Inverter 10 CO Dawlance
6062,Split-SKD,15 Inv,F01000042100,POWERCON X INVERTER 15 Dawlance
6062,Split-SKD,15 Inv,F01000042500,ENERCON X INVERTER 15 Dawlance
6062,Split-SKD,15 Inv,F01000042400,SPRINTER X INVERTER 15 Dawlance
6062,Split-SKD,15 Inv,F01000044000,Mega Flex Inverter 15 Dawlance
6062,Split-SKD,15 Inv,F01000047400,ATMOS COOL INVERTER 15 Dawlance
6062,Split-SKD,15 Inv,F01000047100,INSPIRE PRO INVERTER 15 Dawlance
6062,Split-SKD,15 Inv,F01000033500,Elegance Pro 15 Inverter Dawlance
6062,Split-SKD,30 Inv,F01000042600,POWERCON X INVERTER 30 Dawlance
6062,Split-SKD,30 Inv,F01000042300,ENERCON X INVERTER 30 Dawlance
6062,Split-SKD,30 Inv,F01000042200,SPRINTER X INVERTER 30 Dawlance
6062,Split-Local,Frost Inv-30,F01000057400,Frost Inverter 30 White (Cool Only) Dawl
6062,Split-SKD,30 Inv,F01000044100,Mega Flex Inverter 30 Dawlance
6062,Split-SKD,30 Inv,F01000047200,ATMOS COOL INVERTER 30 Dawlance
6062,Split-SKD,30 Inv,F01000047300,INSPIRE PRO INVERTER 30 Dawlance
6062,Split-SKD,30 Inv,F01000033600,Elegance Pro 30 Inverter Dawlance
6061,TV,32,F01000020300,LED 32 E3A HD Spectrum Series
6061,TV,32,F01000036600,LED 32 E22 2K Smart Blaze Series
6061,TV,40,F01000036500,LED 40 E22 2K Smart Blaze Series
6061,TV,43,F01000033200,LED 43 G22 4K UHD Radiant Series
6061,TV,43,F01000036700,LED 43 E22 2K Smart Blaze Series
6061,TV,43,F01000021300,LED 43 E3A FHD Spectrum Series
6061,TV,43,F01000021500,LED 43 G3AP 4K UHD Canvas Series
6061,TV,50,F01000020400,LED 50 G3AP 4K UHD Canvas Series
6061,TV,50,F01000033100,LED 50 G22 4K UHD Radiant Series
6061,TV,55,F01000021400,LED 55 G3AP 4K UHD Canvas Series
6061,TV,55,F01000033300,LED 55 G22 4K UHD Radiant Series
6061,TV,65,F01000031000,LED 65 G3AP 4K UHD Canvas Series
6061,TV,65,F01000033400,LED 65 G22 4K UHD Radiant Series
6061,TV,32,F01000054100,DAWLANCE EL-32 VA 2K GOTV Dawlance
6061,TV,40,F01000054200,DAWLANCE EL-40 VA 2K GOTV Dawlance
6061,TV,43,F01000054000,DAWLANCE EL-43 VA 2K GOTV Dawlance
